# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/overall-score-lowest
# rows: 8475 (excluding this header and the column row)
# ranking: Texas campuses with the lowest overall score in 2025-26
# population: 8,475 campuses of 9,031 campuses are ranked here.
# population: 556 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
38,8475,11,221801052,Ignite Community School - Beaumont,Texas College Preparatory Academies,F,50,195,https://txschools.net/campus/ignite-community-school-beaumont-221801052
38,8475,11,233901111,Ruben Chavira Elem,San Felipe-Del Rio CISD,F,50,704,https://txschools.net/campus/ruben-chavira-elem-233901111
38,8475,11,020905101,S F Austin Elem,Brazosport ISD,F,50,146,https://txschools.net/campus/s-f-austin-elem-020905101
38,8475,11,235902111,Shields Elem,Victoria ISD,F,50,373,https://txschools.net/campus/shields-elem-235902111
50,8475,8,113901102,Crockett Elem,Crockett ISD,F,51,351,https://txschools.net/campus/crockett-elem-113901102
50,8475,8,074903102,Evans Elem,Bonham ISD,F,51,421,https://txschools.net/campus/evans-elem-074903102
50,8475,8,175903103,Fannin Elem,Corsicana ISD,F,51,383,https://txschools.net/campus/fannin-elem-175903103
50,8475,8,229904101,Fred Elem,Warren ISD,F,51,189,https://txschools.net/campus/fred-elem-229904101
50,8475,8,123910128,Martin Elem,Beaumont ISD,F,51,530,https://txschools.net/campus/martin-elem-123910128
50,8475,8,174904112,Mike Moses Elem,Nacogdoches ISD,F,51,484,https://txschools.net/campus/mike-moses-elem-174904112
50,8475,8,227901061,Paredes MS,Austin ISD,F,51,593,https://txschools.net/campus/paredes-ms-227901061
50,8475,8,201914105,West Rusk Elem,West Rusk County Consolidated ISD,F,51,221,https://txschools.net/campus/west-rusk-elem-201914105
50,8475,8,201914104,West Rusk Int,West Rusk County Consolidated ISD,F,51,219,https://txschools.net/campus/west-rusk-int-201914104
59,8475,22,152901061,Atkins MS,Lubbock ISD,F,52,670,https://txschools.net/campus/atkins-ms-152901061
59,8475,22,115901101,Benito Martinez Elem,Ft Hancock ISD,F,52,227,https://txschools.net/campus/benito-martinez-elem-115901101
59,8475,22,011901103,Cedar Creek Elem,Bastrop ISD,F,52,816,https://txschools.net/campus/cedar-creek-elem-011901103
59,8475,22,015907116,Collins Garden Elem,San Antonio ISD,F,52,430,https://txschools.net/campus/collins-garden-elem-015907116
59,8475,22,116903043,Commerce MS,Commerce ISD,F,52,340,https://txschools.net/campus/commerce-ms-116903043
59,8475,22,091906104,Crutchfield Elem,Sherman ISD,F,52,592,https://txschools.net/campus/crutchfield-elem-091906104
59,8475,22,212801042,Cumberland Academy MS,Cumberland Academy,F,52,240,https://txschools.net/campus/cumberland-academy-ms-212801042
59,8475,22,227907042,Decker MS,Manor ISD,F,52,609,https://txschools.net/campus/decker-ms-227907042
59,8475,22,220910101,Effie Morris STEAM Academy,Lake Worth ISD,F,52,429,https://txschools.net/campus/effie-morris-steam-academy-220910101
59,8475,22,019913101,Hubbard ISD,Hubbard ISD,F,52,54,https://txschools.net/campus/hubbard-isd-019913101
59,8475,22,108807137,IDEA Bluff Springs Academy,IDEA Public Schools,F,52,517,https://txschools.net/campus/idea-bluff-springs-academy-108807137
59,8475,22,108807128,IDEA Brackenridge Academy,IDEA Public Schools,F,52,611,https://txschools.net/campus/idea-brackenridge-academy-108807128
59,8475,22,043902101,Joe K Bryant Elem,Anna ISD,F,52,557,https://txschools.net/campus/joe-k-bryant-elem-043902101
59,8475,22,248901101,Kermit Elem,Kermit ISD,F,52,593,https://txschools.net/campus/kermit-elem-248901101
59,8475,22,101924104,L E Monahan Elem,Sheldon ISD,F,52,604,https://txschools.net/campus/l-e-monahan-elem-101924104
59,8475,22,019908102,Liberty-Eylau Early Childhood Center,Liberty-Eylau ISD,F,52,243,https://txschools.net/campus/liberty-eylau-early-childhood-center-019908102
59,8475,22,019908103,Liberty-Eylau Elem,Liberty-Eylau ISD,F,52,471,https://txschools.net/campus/liberty-eylau-elem-019908103
59,8475,22,015915118,Oak Hills Terrace Elem,Northside ISD,F,52,437,https://txschools.net/campus/oak-hills-terrace-elem-015915118
59,8475,22,057913101,Pleasant Run Elem,Lancaster ISD,F,52,541,https://txschools.net/campus/pleasant-run-elem-057913101
59,8475,22,102902116,Price T Young Elem,Marshall ISD,F,52,540,https://txschools.net/campus/price-t-young-elem-102902116
59,8475,22,146901042,Santa Fe MS,Cleveland ISD,F,52,1256,https://txschools.net/campus/santa-fe-ms-146901042
59,8475,22,212910101,Winona Elem,Winona ISD,F,52,558,https://txschools.net/campus/winona-elem-212910101
59,8475,22,220905216,Woodway Elem,Fort Worth ISD,F,52,481,https://txschools.net/campus/woodway-elem-220905216
82,8475,13,227907102,Bluebonnet Trail Elem,Manor ISD,F,53,582,https://txschools.net/campus/bluebonnet-trail-elem-227907102
82,8475,13,057905216,Edward Titche Elem,Dallas ISD,F,53,679,https://txschools.net/campus/edward-titche-elem-057905216
82,8475,13,024901101,Falfurrias Elem,Brooks County ISD,F,53,218,https://txschools.net/campus/falfurrias-elem-024901101
82,8475,13,024901105,Falfurrias Innovation Academy,Brooks County ISD,F,53,140,https://txschools.net/campus/falfurrias-innovation-academy-024901105
82,8475,13,057904105,Highlands Elem,Cedar Hill ISD,F,53,384,https://txschools.net/campus/highlands-elem-057904105
82,8475,13,014903122,Hubbard Branch Elem,Belton ISD,F,53,503,https://txschools.net/campus/hubbard-branch-elem-014903122
82,8475,13,057830001,Inspired Vision Academy Elem,Inspired Vision Academy,F,53,547,https://txschools.net/campus/inspired-vision-academy-elem-057830001
82,8475,13,227910042,John P Ojeda MS,Del Valle ISD,F,53,714,https://txschools.net/campus/john-p-ojeda-ms-227910042
82,8475,13,024901103,Lasater Elem,Brooks County ISD,F,53,122,https://txschools.net/campus/lasater-elem-024901103
82,8475,13,227901051,Martin MS,Austin ISD,F,53,308,https://txschools.net/campus/martin-ms-227901051
82,8475,13,072910101,Morgan Mill School,Morgan Mill ISD,F,53,132,https://txschools.net/campus/morgan-mill-school-072910101
82,8475,13,008902102,Selman Elem,Sealy ISD,F,53,736,https://txschools.net/campus/selman-elem-008902102
82,8475,13,057916126,Skyview Elem,Richardson ISD,F,53,716,https://txschools.net/campus/skyview-elem-057916126
82,8475,13,057907042,William H Byrd MS,Duncanville ISD,F,53,563,https://txschools.net/campus/william-h-byrd-ms-057907042
96,8475,17,003903122,Brookhollow Elem STEM Academy,Lufkin ISD,F,54,262,https://txschools.net/campus/brookhollow-elem-stem-academy-003903122
96,8475,17,220905111,Carter Park Elem,Fort Worth ISD,F,54,488,https://txschools.net/campus/carter-park-elem-220905111
96,8475,17,220912108,Dallas Park Elem,Crowley ISD,F,54,573,https://txschools.net/campus/dallas-park-elem-220912108
96,8475,17,123910126,Dishman Elem,Beaumont ISD,F,54,508,https://txschools.net/campus/dishman-elem-123910126
96,8475,17,059901042,Hereford JH,Hereford ISD,F,54,542,https://txschools.net/campus/hereford-jh-059901042
96,8475,17,057904104,High Pointe Elem,Cedar Hill ISD,F,54,353,https://txschools.net/campus/high-pointe-elem-057904104
96,8475,17,015907137,Hirsch Elem,San Antonio ISD,F,54,540,https://txschools.net/campus/hirsch-elem-015907137
