# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/attendance-lowest
# rows: 7366 (excluding this header and the column row)
# ranking: Texas campuses with the lowest attendance in 2025-26
# population: 7,366 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# population: 280 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
42,7366,0,152901011,Dupre Academy HS,Lubbock ISD,C,78,116,https://txschools.net/campus/dupre-academy-hs-152901011
43,7366,0,021901005,Cvhs Accelerated Academy,College Station ISD,A,78.1,24,https://txschools.net/campus/cvhs-accelerated-academy-021901005
44,7366,1,015907005,Highlands HS,San Antonio ISD,C,78.3,1416,https://txschools.net/campus/highlands-hs-015907005
44,7366,1,015907006,Houston HS,San Antonio ISD,B,78.3,713,https://txschools.net/campus/houston-hs-015907006
46,7366,0,220908006,The Phoenix Academy,Mansfield ISD,A,78.5,56,https://txschools.net/campus/the-phoenix-academy-220908006
47,7366,0,011902004,Phoenix HS,Elgin ISD,C,78.6,42,https://txschools.net/campus/phoenix-hs-011902004
48,7366,0,227901019,Eastside Early College HS,Austin ISD,C,78.8,584,https://txschools.net/campus/eastside-early-college-hs-227901019
49,7366,0,235902006,Visd Success Academy,Victoria ISD,B,78.9,212,https://txschools.net/campus/visd-success-academy-235902006
50,7366,0,101911005,Peter E Hyland Empower Academy,Goose Creek CISD,A,79.3,105,https://txschools.net/campus/peter-e-hyland-empower-academy-101911005
51,7366,0,108906007,Lamar Academy,McAllen ISD,A,79.5,49,https://txschools.net/campus/lamar-academy-108906007
52,7366,1,043902005,Anna Academic Achievement Center,Anna ISD,A,80,49,https://txschools.net/campus/anna-academic-achievement-center-043902005
52,7366,1,101905005,Endeavor HS,Channelview ISD,A,80,91,https://txschools.net/campus/endeavor-hs-101905005
54,7366,0,101910001,Accelerated Center for Education (Ace),Galena Park ISD,B,80.6,166,https://txschools.net/campus/accelerated-center-for-education-ace-101910001
55,7366,0,227904007,Pflugerville Academic and Career Education (Pace),Pflugerville ISD,B,80.8,83,https://txschools.net/campus/pflugerville-academic-and-career-education-pace-227904007
56,7366,0,015907024,Cooper Academy at Navarro,San Antonio ISD,A,80.9,365,https://txschools.net/campus/cooper-academy-at-navarro-015907024
57,7366,0,182903002,Mineral Wells Academy,Mineral Wells ISD,B,81,29,https://txschools.net/campus/mineral-wells-academy-182903002
58,7366,0,002901002,Andrews Education Center,Andrews ISD,B,81.2,28,https://txschools.net/campus/andrews-education-center-002901002
59,7366,0,014906006,Pathways Academic Campus,Killeen ISD,A,81.4,247,https://txschools.net/campus/pathways-academic-campus-014906006
60,7366,0,246904002,Chip Richarte HS,Georgetown ISD,B,81.7,83,https://txschools.net/campus/chip-richarte-hs-246904002
61,7366,0,028902038,Lockhart Pride HS,Lockhart ISD,C,82,71,https://txschools.net/campus/lockhart-pride-hs-028902038
62,7366,0,108903004,Edcouch-Elsa HS Academy,Edcouch-Elsa ISD,C,82.1,16,https://txschools.net/campus/edcouch-elsa-hs-academy-108903004
63,7366,2,091906037,Jefferson Learning Ctr,Sherman ISD,B,82.2,76,https://txschools.net/campus/jefferson-learning-ctr-091906037
63,7366,2,227901014,LBJ Early College HS,Austin ISD,C,82.2,728,https://txschools.net/campus/lbj-early-college-hs-227901014
63,7366,2,019907003,Options Early Graduation HS,Texarkana ISD,A,82.2,70,https://txschools.net/campus/options-early-graduation-hs-019907003
66,7366,0,045902002,Columbus Crossing HS,Columbus ISD,B,82.3,8,https://txschools.net/campus/columbus-crossing-hs-045902002
67,7366,0,084902007,Aim College & Career Prep,Galveston ISD,A,82.4,77,https://txschools.net/campus/aim-college-career-prep-084902007
68,7366,0,015907008,Lanier HS,San Antonio ISD,C,82.5,1556,https://txschools.net/campus/lanier-hs-015907008
69,7366,0,057905017,H Grady Spruce HS,Dallas ISD,C,82.6,1207,https://txschools.net/campus/h-grady-spruce-hs-057905017
70,7366,2,101912456,HS Ahead Academy,Houston ISD,A,82.7,160,https://txschools.net/campus/hs-ahead-academy-101912456
70,7366,2,227901004,Navarro Early College HS,Austin ISD,B,82.7,1391,https://txschools.net/campus/navarro-early-college-hs-227901004
70,7366,2,246913011,New Hope HS,Leander ISD,A,82.7,72,https://txschools.net/campus/new-hope-hs-246913011
73,7366,1,220906006,Bridges Academy,Grapevine-Colleyville ISD,B,83,42,https://txschools.net/campus/bridges-academy-220906006
73,7366,1,221901003,Woodson Center for Excellence,Abilene ISD,B,83,85,https://txschools.net/campus/woodson-center-for-excellence-221901003
75,7366,1,101902153,Hinojosa EC/PK/K,Aldine ISD,B,83.3,669,https://txschools.net/campus/hinojosa-ec-pk-k-101902153
75,7366,1,101916002,The Academy of Viola Dewalt HS,La Porte ISD,B,83.3,112,https://txschools.net/campus/the-academy-of-viola-dewalt-hs-101916002
77,7366,0,083903002,Seminole Success Ctr,Seminole ISD,A,83.4,27,https://txschools.net/campus/seminole-success-ctr-083903002
78,7366,1,178904003,Roy Miller HS and Metro School of Design,Corpus Christi ISD,B,83.6,1325,https://txschools.net/campus/roy-miller-hs-and-metro-school-of-design-178904003
78,7366,1,123910042,Smith MS,Beaumont ISD,F,83.6,501,https://txschools.net/campus/smith-ms-123910042
