# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/school-progress-highest
# rows: 7238 (excluding this header and the column row)
# ranking: Texas campuses with the highest School Progress in 2025-26
# population: 7,238 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# population: 408 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
9,7238,37,057905088,Trinidad Garza Early College at Mt View,Dallas ISD,A,98,492,https://txschools.net/campus/trinidad-garza-early-college-at-mt-view-057905088
9,7238,37,046901038,Two Rivers HS,New Braunfels ISD,A,98,62,https://txschools.net/campus/two-rivers-hs-046901038
9,7238,37,212905006,Tyler ISD Early College HS,Tyler ISD,A,98,465,https://txschools.net/campus/tyler-isd-early-college-hs-212905006
9,7238,37,057905217,William B Travis Vanguard Acad of Academically Tag,Dallas ISD,A,98,536,https://txschools.net/campus/william-b-travis-vanguard-acad-of-academically-tag-057905217
9,7238,37,165901007,Young Women's Leadership Academy,Midland ISD,A,98,436,https://txschools.net/campus/young-women-s-leadership-academy-165901007
47,7238,58,043914004,Achieve Academy,Wylie ISD,A,97,122,https://txschools.net/campus/achieve-academy-043914004
47,7238,58,220901014,Arlington College and Career HS,Arlington ISD,A,97,343,https://txschools.net/campus/arlington-college-and-career-hs-220901014
47,7238,58,101902015,Avalos P-Tech School,Aldine ISD,A,97,413,https://txschools.net/campus/avalos-p-tech-school-101902015
47,7238,58,057905381,Barack Obama Male Leadership Acad at A Maceo Smith,Dallas ISD,A,97,497,https://txschools.net/campus/barack-obama-male-leadership-acad-at-a-maceo-smith-057905381
47,7238,58,020905111,Bess Brannen Elem,Brazosport ISD,A,97,721,https://txschools.net/campus/bess-brannen-elem-020905111
47,7238,58,101902014,Blanson CTE HS,Aldine ISD,A,97,1248,https://txschools.net/campus/blanson-cte-hs-101902014
47,7238,58,021902003,Bryan Collegiate HS,Bryan ISD,A,97,471,https://txschools.net/campus/bryan-collegiate-hs-021902003
47,7238,58,126902007,Burleson Collegiate HS,Burleson ISD,A,97,172,https://txschools.net/campus/burleson-collegiate-hs-126902007
47,7238,58,246909125,Canyon Creek Elem,Round Rock ISD,A,97,356,https://txschools.net/campus/canyon-creek-elem-246909125
47,7238,58,108909123,Cesar Chavez Elem,Pharr-San Juan-Alamo ISD,A,97,408,https://txschools.net/campus/cesar-chavez-elem-108909123
47,7238,58,084910010,Clear Horizons Early College HS,Clear Creek ISD,A,97,496,https://txschools.net/campus/clear-horizons-early-college-hs-084910010
47,7238,58,220916008,Collegiate Academy of Heb ISD,Hurst-Euless-Bedford ISD,A,97,93,https://txschools.net/campus/collegiate-academy-of-heb-isd-220916008
47,7238,58,178904008,Collegiate HS,Corpus Christi ISD,A,97,387,https://txschools.net/campus/collegiate-hs-178904008
47,7238,58,011901005,Colorado River Collegiate Academy,Bastrop ISD,A,97,210,https://txschools.net/campus/colorado-river-collegiate-academy-011901005
47,7238,58,079907135,Commonwealth Elem,Fort Bend ISD,A,97,675,https://txschools.net/campus/commonwealth-elem-079907135
47,7238,58,101921112,Creekside Forest Elem,Tomball ISD,A,97,631,https://txschools.net/campus/creekside-forest-elem-101921112
47,7238,58,123910013,Dr Martin Luther King Collegiate Academy,Beaumont ISD,A,97,334,https://txschools.net/campus/dr-martin-luther-king-collegiate-academy-123910013
47,7238,58,057903010,Early College HS,Carrollton-Farmers Branch ISD,A,97,351,https://txschools.net/campus/early-college-hs-057903010
47,7238,58,101912301,Eastwood Academy,Houston ISD,A,97,396,https://txschools.net/campus/eastwood-academy-101912301
47,7238,58,101912321,Energized for STEM Academy HS,Houston ISD,A,97,492,https://txschools.net/campus/energized-for-stem-academy-hs-101912321
47,7238,58,101912468,Energy Institute HS,Houston ISD,A,97,698,https://txschools.net/campus/energy-institute-hs-101912468
47,7238,58,214903103,Florence J Scott Elem,Roma ISD,A,97,516,https://txschools.net/campus/florence-j-scott-elem-214903103
47,7238,58,098901001,Gruver HS,Gruver ISD,A,97,139,https://txschools.net/campus/gruver-hs-098901001
