# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/school-progress-lowest
# rows: 8061 (excluding this header and the column row)
# ranking: Texas campuses with the lowest School Progress in 2025-26
# population: 8,061 campuses of 9,031 campuses are ranked here.
# population: 556 were not rated by TEA for 2025-26 and are not ranked.
# population: 414 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
33,8061,18,071902185,Moreno Montessori,El Paso ISD,D,54,162,https://txschools.net/campus/moreno-montessori-071902185
33,8061,18,220905054,Morningside MS,Fort Worth ISD,F,54,388,https://txschools.net/campus/morningside-ms-220905054
33,8061,18,057809101,Nova Academy,Nova Academy,F,54,67,https://txschools.net/campus/nova-academy-057809101
33,8061,18,227901129,Pecan Springs Elem,Austin ISD,F,54,240,https://txschools.net/campus/pecan-springs-elem-227901129
33,8061,18,028906002,Prairie Lea HS,Prairie Lea ISD,F,54,139,https://txschools.net/campus/prairie-lea-hs-028906002
33,8061,18,199902111,Sara Moss Elem,Royse City ISD,F,54,326,https://txschools.net/campus/sara-moss-elem-199902111
33,8061,18,220905048,William James MS,Fort Worth ISD,F,54,613,https://txschools.net/campus/william-james-ms-220905048
52,8061,26,101919046,Bammel MS,Spring ISD,F,55,773,https://txschools.net/campus/bammel-ms-101919046
52,8061,26,226903106,Bradford Elem,San Angelo ISD,F,55,450,https://txschools.net/campus/bradford-elem-226903106
52,8061,26,015907241,Carvajal Elem,San Antonio ISD,F,55,315,https://txschools.net/campus/carvajal-elem-015907241
52,8061,26,011901103,Cedar Creek Elem,Bastrop ISD,F,55,816,https://txschools.net/campus/cedar-creek-elem-011901103
52,8061,26,178807101,Corpus Christi Montessori School,Corpus Christi Montessori School,F,55,132,https://txschools.net/campus/corpus-christi-montessori-school-178807101
52,8061,26,015907118,David Crockett Academy,San Antonio ISD,F,55,744,https://txschools.net/campus/david-crockett-academy-015907118
52,8061,26,227907042,Decker MS,Manor ISD,F,55,609,https://txschools.net/campus/decker-ms-227907042
52,8061,26,011902042,Elgin Int,Elgin ISD,F,55,455,https://txschools.net/campus/elgin-int-011902042
52,8061,26,186902698,Eschool Prep Academy,Fort Stockton ISD,F,55,4112,https://txschools.net/campus/eschool-prep-academy-186902698
52,8061,26,175903103,Fannin Elem,Corsicana ISD,F,55,383,https://txschools.net/campus/fannin-elem-175903103
52,8061,26,161914050,G W Carver MS,Waco ISD,F,55,625,https://txschools.net/campus/g-w-carver-ms-161914050
52,8061,26,220918106,High Country Elem,Eagle Mt-Saginaw ISD,F,55,517,https://txschools.net/campus/high-country-elem-220918106
52,8061,26,108807306,IDEA Southeast Academy,IDEA Public Schools,F,55,683,https://txschools.net/campus/idea-southeast-academy-108807306
52,8061,26,107910101,Lapoynor Elem,Lapoynor ISD,F,55,215,https://txschools.net/campus/lapoynor-elem-107910101
52,8061,26,015825101,Lighthouse Elem,Lighthouse Public Schools,F,55,289,https://txschools.net/campus/lighthouse-elem-015825101
52,8061,26,073903103,Marlin Elem,Marlin ISD,F,55,459,https://txschools.net/campus/marlin-elem-073903103
52,8061,26,174904112,Mike Moses Elem,Nacogdoches ISD,F,55,484,https://txschools.net/campus/mike-moses-elem-174904112
52,8061,26,015907157,Ogden Elem,San Antonio ISD,F,55,322,https://txschools.net/campus/ogden-elem-015907157
52,8061,26,227901061,Paredes MS,Austin ISD,F,55,593,https://txschools.net/campus/paredes-ms-227901061
52,8061,26,123910125,Pietzsch/Mac Arthur Elem,Beaumont ISD,F,55,1179,https://txschools.net/campus/pietzsch-mac-arthur-elem-123910125
52,8061,26,067907041,Ranger MS,Ranger ISD,F,55,62,https://txschools.net/campus/ranger-ms-067907041
52,8061,26,057916126,Skyview Elem,Richardson ISD,F,55,716,https://txschools.net/campus/skyview-elem-057916126
52,8061,26,057803112,Uplift Williams Prep Ps,Uplift Education,F,55,545,https://txschools.net/campus/uplift-williams-prep-ps-057803112
52,8061,26,227806044,UT Charter Scholars Academy,University of Texas University Charter School,C,55,67,https://txschools.net/campus/ut-charter-scholars-academy-227806044
52,8061,26,019907108,Westlawn Elem,Texarkana ISD,F,55,291,https://txschools.net/campus/westlawn-elem-019907108
52,8061,26,227901175,Widen Elem,Austin ISD,F,55,339,https://txschools.net/campus/widen-elem-227901175
52,8061,26,196902102,Woodsboro Elem,Woodsboro ISD,F,55,159,https://txschools.net/campus/woodsboro-elem-196902102
79,8061,47,227825003,Austin Achieve Northeast Elem,Austin Achieve Public Schools,F,56,877,https://txschools.net/campus/austin-achieve-northeast-elem-227825003
79,8061,47,227910108,Baty Elem,Del Valle ISD,F,56,584,https://txschools.net/campus/baty-elem-227910108
79,8061,47,152901206,Bean Elem,Lubbock ISD,F,56,401,https://txschools.net/campus/bean-elem-152901206
79,8061,47,235901101,Bloomington Elem,Bloomington ISD,F,56,205,https://txschools.net/campus/bloomington-elem-235901101
79,8061,47,249903102,Bridgeport Int,Bridgeport ISD,F,56,427,https://txschools.net/campus/bridgeport-int-249903102
79,8061,47,170904103,C C Hardy Elem,Willis ISD,F,56,814,https://txschools.net/campus/c-c-hardy-elem-170904103
79,8061,47,064903103,Carrizo Springs Int,Carrizo Springs CISD,F,56,420,https://txschools.net/campus/carrizo-springs-int-064903103
79,8061,47,210901101,Center Elem,Center ISD,F,56,481,https://txschools.net/campus/center-elem-210901101
79,8061,47,114902101,Coahoma Elem,Coahoma ISD,D,56,608,https://txschools.net/campus/coahoma-elem-114902101
79,8061,47,102902103,Crockett Elem,Marshall ISD,F,56,527,https://txschools.net/campus/crockett-elem-102902103
79,8061,47,091906104,Crutchfield Elem,Sherman ISD,F,56,592,https://txschools.net/campus/crutchfield-elem-091906104
79,8061,47,212801042,Cumberland Academy MS,Cumberland Academy,F,56,240,https://txschools.net/campus/cumberland-academy-ms-212801042
79,8061,47,227901114,Dawson Elem,Austin ISD,F,56,152,https://txschools.net/campus/dawson-elem-227901114
79,8061,47,161914107,Dean Highland Elem,Waco ISD,F,56,573,https://txschools.net/campus/dean-highland-elem-161914107
79,8061,47,123910126,Dishman Elem,Beaumont ISD,F,56,508,https://txschools.net/campus/dishman-elem-123910126
79,8061,47,220904003,Everman Academy HS,Everman ISD,B,56,56,https://txschools.net/campus/everman-academy-hs-220904003
