# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/per-student-spending-declines
# rows: 1162 (excluding this header and the column row)
# ranking: Texas school districts with the largest per-student spending declines since 2018
# population: 1,162 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 22 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2018,2025,enrollment,url
173,1162,0,247901,Floresville ISD,Wilson,B,2322,10384,12706,3893,https://txschools.net/district/floresville-isd-247901
174,1162,0,071901,Clint ISD,El Paso,B,2334,13794,16128,9829,https://txschools.net/district/clint-isd-071901
175,1162,0,215901,Breckenridge ISD,Stephens,B,2351,11839,14190,1288,https://txschools.net/district/breckenridge-isd-215901
176,1162,0,227819,University of Texas Elem Charter School,Travis,C,2358,10758,13116,305,https://txschools.net/district/university-of-texas-elem-charter-school-227819
177,1162,0,101828,Houston Gateway Academy Inc,Harris,B,2376,7548,9924,2364,https://txschools.net/district/houston-gateway-academy-inc-101828
178,1162,0,220809,Fort Worth Academy of Fine Arts,Tarrant,B,2391,8699,11090,668,https://txschools.net/district/fort-worth-academy-of-fine-arts-220809
179,1162,0,084909,Santa Fe ISD,Galveston,B,2431,11808,14239,4326,https://txschools.net/district/santa-fe-isd-084909
180,1162,0,015835,Great Hearts Texas,Bexar,B,2460,9293,11753,14038,https://txschools.net/district/great-hearts-texas-015835
181,1162,0,015802,George Gervin Academy,Bexar,B,2462,9745,12207,744,https://txschools.net/district/george-gervin-academy-015802
182,1162,0,061804,Leadership Prep School,Denton,B,2472,8218,10690,1894,https://txschools.net/district/leadership-prep-school-061804
183,1162,0,071904,San Elizario ISD,El Paso,C,2483,13420,15903,2776,https://txschools.net/district/san-elizario-isd-071904
184,1162,0,129903,Kaufman ISD,Kaufman,B,2492,13033,15525,4208,https://txschools.net/district/kaufman-isd-129903
185,1162,0,108912,La Joya ISD,Hidalgo,B,2493,12706,15199,21606,https://txschools.net/district/la-joya-isd-108912
186,1162,0,226801,Texas Leadership Public Schools,Tom Green,B,2514,9586,12100,4070,https://txschools.net/district/texas-leadership-public-schools-226801
187,1162,0,249903,Bridgeport ISD,Wise,C,2530,12418,14948,2028,https://txschools.net/district/bridgeport-isd-249903
188,1162,0,146904,Hardin ISD,Liberty,C,2533,11348,13881,1175,https://txschools.net/district/hardin-isd-146904
189,1162,0,101912,Houston ISD,Harris,B,2556,14470,17026,167793,https://txschools.net/district/houston-isd-101912
190,1162,0,025904,Blanket ISD,Brown,B,2599,15095,17694,151,https://txschools.net/district/blanket-isd-025904
191,1162,0,049905,Callisburg ISD,Cooke,C,2600,12212,14812,1139,https://txschools.net/district/callisburg-isd-049905
192,1162,0,212804,UT Tyler University Academy,Smith,A,2603,8199,10802,1224,https://txschools.net/district/ut-tyler-university-academy-212804
193,1162,0,101911,Goose Creek CISD,Harris,B,2609,13739,16348,23308,https://txschools.net/district/goose-creek-cisd-101911
194,1162,0,084901,Dickinson ISD,Galveston,B,2632,15492,18124,12569,https://txschools.net/district/dickinson-isd-084901
195,1162,0,071801,Burnham Wood Charter School District,El Paso,B,2638,9072,11710,1895,https://txschools.net/district/burnham-wood-charter-school-district-071801
196,1162,0,061802,North Texas Collegiate Academy,Denton,D,2646,8765,11411,797,https://txschools.net/district/north-texas-collegiate-academy-061802
197,1162,0,057844,Manara Academy,Dallas,B,2670,10044,12714,658,https://txschools.net/district/manara-academy-057844
198,1162,0,025909,Early ISD,Brown,B,2671,12316,14987,1087,https://txschools.net/district/early-isd-025909
199,1162,0,161807,Harmony Public Schools - North Texas,McLennan,B,2681,9815,12496,11297,https://txschools.net/district/harmony-public-schools-north-texas-161807
200,1162,0,227816,Harmony Public Schools - Central Texas,Travis,B,2693,10445,13138,5679,https://txschools.net/district/harmony-public-schools-central-texas-227816
201,1162,0,246801,Meridian World School LLC,Williamson,A,2700,8881,11581,1757,https://txschools.net/district/meridian-world-school-llc-246801
202,1162,1,015904,Harlandale ISD,Bexar,C,2711,14525,17236,11096,https://txschools.net/district/harlandale-isd-015904
202,1162,1,182903,Mineral Wells ISD,Palo Pinto,B,2711,11625,14336,3244,https://txschools.net/district/mineral-wells-isd-182903
204,1162,0,014804,Orenda Charter School,Bell,A,2787,8645,11432,1936,https://txschools.net/district/orenda-charter-school-014804
205,1162,0,116905,Greenville ISD,Hunt,C,2793,11031,13824,5435,https://txschools.net/district/greenville-isd-116905
206,1162,0,227907,Manor ISD,Travis,D,2802,18546,21348,9826,https://txschools.net/district/manor-isd-227907
207,1162,0,239901,Brenham ISD,Washington,B,2808,10950,13758,4712,https://txschools.net/district/brenham-isd-239901
208,1162,0,144901,Giddings ISD,Lee,B,2811,11326,14137,1798,https://txschools.net/district/giddings-isd-144901
209,1162,0,200901,Ballinger ISD,Runnels,B,2826,12818,15644,781,https://txschools.net/district/ballinger-isd-200901
210,1162,0,075902,La Grange ISD,Fayette,B,2835,12289,15124,1839,https://txschools.net/district/la-grange-isd-075902
211,1162,0,092907,Spring Hill ISD,Gregg,A,2844,10533,13377,1941,https://txschools.net/district/spring-hill-isd-092907
212,1162,0,009901,Muleshoe ISD,Bailey,B,2850,12441,15291,1309,https://txschools.net/district/muleshoe-isd-009901
213,1162,0,108911,Sharyland ISD,Hidalgo,B,2851,10778,13629,9653,https://txschools.net/district/sharyland-isd-108911
214,1162,0,015808,Inspire Academies,Bexar,C,2862,15231,18093,1158,https://txschools.net/district/inspire-academies-015808
215,1162,0,071806,Harmony Public Schools - West Texas,El Paso,B,2871,10108,12979,6738,https://txschools.net/district/harmony-public-schools-west-texas-071806
216,1162,0,015827,School of Science and Technology,Bexar,B,2880,9549,12429,5855,https://txschools.net/district/school-of-science-and-technology-015827
217,1162,0,092801,East Texas Charter Schools,Gregg,A,2888,10435,13323,125,https://txschools.net/district/east-texas-charter-schools-092801
218,1162,0,015834,Basis Texas,Bexar,A,2895,8331,11226,9480,https://txschools.net/district/basis-texas-015834
219,1162,0,101862,Harmony Public Schools - Houston West,Harris,A,2928,9491,12419,6906,https://txschools.net/district/harmony-public-schools-houston-west-101862
220,1162,0,148902,Follett ISD,Lipscomb,C,2938,15648,18586,170,https://txschools.net/district/follett-isd-148902
221,1162,0,109911,Whitney ISD,Hill,C,2939,11953,14892,1433,https://txschools.net/district/whitney-isd-109911
222,1162,0,249905,Decatur ISD,Wise,C,2946,11550,14496,3801,https://txschools.net/district/decatur-isd-249905
223,1162,0,101803,Aristoi Classical Academy,Harris,B,2951,8155,11106,1713,https://txschools.net/district/aristoi-classical-academy-101803
224,1162,0,233901,San Felipe-Del Rio CISD,Val Verde,C,2973,11179,14152,9494,https://txschools.net/district/san-felipe-del-rio-cisd-233901
225,1162,0,247906,Stockdale ISD,Wilson,B,2976,11678,14654,879,https://txschools.net/district/stockdale-isd-247906
226,1162,0,216901,Sterling City ISD,Sterling,A,2996,22331,25327,312,https://txschools.net/district/sterling-city-isd-216901
227,1162,0,021901,College Station ISD,Brazos,B,3026,15299,18325,13892,https://txschools.net/district/college-station-isd-021901
228,1162,0,140908,Sudan ISD,Lamb,B,3044,17567,20611,445,https://txschools.net/district/sudan-isd-140908
229,1162,0,057922,Coppell ISD,Dallas,A,3046,16953,19999,13047,https://txschools.net/district/coppell-isd-057922
230,1162,0,101840,Two Dimensions Preparatory Academy,Harris,D,3059,9126,12185,342,https://txschools.net/district/two-dimensions-preparatory-academy-101840
231,1162,0,146902,Dayton ISD,Liberty,C,3063,10617,13680,5777,https://txschools.net/district/dayton-isd-146902
232,1162,0,034906,McLeod ISD,Cass,A,3064,10448,13512,420,https://txschools.net/district/mcleod-isd-034906
233,1162,0,073904,Westphalia ISD,Falls,A,3077,11094,14171,148,https://txschools.net/district/westphalia-isd-073904
234,1162,0,126906,Keene ISD,Johnson,B,3081,12566,15647,1131,https://txschools.net/district/keene-isd-126906
235,1162,0,178909,Robstown ISD,Nueces,D,3095,15438,18533,2478,https://txschools.net/district/robstown-isd-178909
236,1162,0,120901,Edna ISD,Jackson,B,3098,12081,15179,1538,https://txschools.net/district/edna-isd-120901
237,1162,0,141901,Lampasas ISD,Lampasas,B,3104,11024,14128,3625,https://txschools.net/district/lampasas-isd-141901
238,1162,0,181906,West Orange-Cove CISD,Orange,C,3105,14789,17894,2502,https://txschools.net/district/west-orange-cove-cisd-181906
239,1162,0,100905,Hardin-Jefferson ISD,Hardin,B,3121,12478,15599,2828,https://txschools.net/district/hardin-jefferson-isd-100905
240,1162,0,206901,San Saba ISD,San Saba,C,3129,11654,14783,686,https://txschools.net/district/san-saba-isd-206901
241,1162,0,178914,Flour Bluff ISD,Nueces,B,3135,10831,13966,5375,https://txschools.net/district/flour-bluff-isd-178914
242,1162,0,057913,Lancaster ISD,Dallas,B,3144,15121,18265,6431,https://txschools.net/district/lancaster-isd-057913
243,1162,0,015828,Harmony Public Schools - South Texas,Bexar,B,3156,10621,13777,4991,https://txschools.net/district/harmony-public-schools-south-texas-015828
244,1162,0,108904,Edinburg CISD,Hidalgo,B,3161,11287,14448,32466,https://txschools.net/district/edinburg-cisd-108904
245,1162,1,015905,Edgewood ISD,Bexar,D,3168,13375,16543,7670,https://txschools.net/district/edgewood-isd-015905
245,1162,1,161916,West ISD,McLennan,B,3168,14423,17591,1338,https://txschools.net/district/west-isd-161916
247,1162,1,057847,Village Tech Schools,Dallas,B,3237,9316,12553,1330,https://txschools.net/district/village-tech-schools-057847
247,1162,1,220810,Westlake Academy Charter School,Tarrant,A,3237,10576,13813,908,https://txschools.net/district/westlake-academy-charter-school-220810
249,1162,1,081904,Teague ISD,Freestone,B,3244,13739,16983,1166,https://txschools.net/district/teague-isd-081904
249,1162,1,221801,Texas College Preparatory Academies,Taylor,B,3244,7842,11086,17201,https://txschools.net/district/texas-college-preparatory-academies-221801
251,1162,0,026901,Caldwell ISD,Burleson,B,3249,11960,15209,1828,https://txschools.net/district/caldwell-isd-026901
252,1162,0,124901,Jim Hogg County ISD,Jim Hogg,C,3257,16131,19388,927,https://txschools.net/district/jim-hogg-county-isd-124901
253,1162,0,045903,Rice CISD,Colorado,C,3261,12136,15397,1287,https://txschools.net/district/rice-cisd-045903
254,1162,0,225902,Mount Pleasant ISD,Titus,B,3289,11323,14612,5019,https://txschools.net/district/mount-pleasant-isd-225902
255,1162,0,043908,Melissa ISD,Collin,A,3298,28580,31878,8560,https://txschools.net/district/melissa-isd-043908
256,1162,0,056902,Texline ISD,Dallam,A,3310,14067,17377,224,https://txschools.net/district/texline-isd-056902
257,1162,0,100907,Lumberton ISD,Hardin,B,3316,8575,11891,4039,https://txschools.net/district/lumberton-isd-100907
258,1162,0,031903,Harlingen CISD,Cameron,B,3318,12239,15557,16187,https://txschools.net/district/harlingen-cisd-031903
259,1162,0,101868,The Pro-Vision Academy,Harris,B,3328,12384,15712,239,https://txschools.net/district/the-pro-vision-academy-101868
260,1162,0,187903,Goodrich ISD,Polk,B,3341,17957,21298,270,https://txschools.net/district/goodrich-isd-187903
261,1162,0,111903,Tolar ISD,Hood,A,3342,10758,14100,898,https://txschools.net/district/tolar-isd-111903
262,1162,0,184904,Millsap ISD,Parker,B,3343,12536,15879,1068,https://txschools.net/district/millsap-isd-184904
263,1162,0,108807,IDEA Public Schools,Hidalgo,B,3347,10855,14202,79607,https://txschools.net/district/idea-public-schools-108807
264,1162,0,015831,School of Science and Technology Discovery,Bexar,A,3348,9609,12957,6366,https://txschools.net/district/school-of-science-and-technology-discovery-015831
265,1162,0,111901,Granbury ISD,Hood,B,3356,10786,14142,7850,https://txschools.net/district/granbury-isd-111901
266,1162,0,031912,San Benito CISD,Cameron,C,3360,12500,15860,8620,https://txschools.net/district/san-benito-cisd-031912
267,1162,0,014910,Troy ISD,Bell,B,3368,10256,13624,1723,https://txschools.net/district/troy-isd-014910
268,1162,0,101914,Katy ISD,Harris,B,3370,14611,17981,95136,https://txschools.net/district/katy-isd-101914
269,1162,0,101853,Bakerripley Community Schools,Harris,B,3375,7547,10922,1908,https://txschools.net/district/bakerripley-community-schools-101853
270,1162,0,071804,El Paso Academy,El Paso,A,3382,6362,9744,294,https://txschools.net/district/el-paso-academy-071804
271,1162,0,068802,Compass Academy Charter School,Ector,C,3398,7606,11004,1759,https://txschools.net/district/compass-academy-charter-school-068802
272,1162,0,101846,Harmony Public Schools - Houston South,Harris,A,3407,10733,14140,4100,https://txschools.net/district/harmony-public-schools-houston-south-101846
273,1162,0,159901,Eagle Pass ISD,Maverick,B,3412,10596,14008,13415,https://txschools.net/district/eagle-pass-isd-159901
274,1162,1,084910,Clear Creek ISD,Galveston,B,3414,12387,15801,38634,https://txschools.net/district/clear-creek-isd-084910
274,1162,1,007905,Pleasanton ISD,Atascosa,C,3414,12035,15449,3301,https://txschools.net/district/pleasanton-isd-007905
276,1162,1,161920,China Spring ISD,McLennan,B,3423,10013,13436,2980,https://txschools.net/district/china-spring-isd-161920
276,1162,1,200904,Winters ISD,Runnels,B,3423,12835,16258,499,https://txschools.net/district/winters-isd-200904
278,1162,0,140905,Olton ISD,Lamb,B,3429,12579,16008,592,https://txschools.net/district/olton-isd-140905
279,1162,0,045902,Columbus ISD,Colorado,B,3437,11665,15102,1594,https://txschools.net/district/columbus-isd-045902
280,1162,0,003902,Hudson ISD,Angelina,B,3441,10470,13911,2755,https://txschools.net/district/hudson-isd-003902
281,1162,0,201902,Henderson ISD,Rusk,B,3442,11185,14627,3151,https://txschools.net/district/henderson-isd-201902
282,1162,0,250907,Winnsboro ISD,Wood,B,3446,12376,15822,1395,https://txschools.net/district/winnsboro-isd-250907
283,1162,0,152802,Rise Academy,Lubbock,A,3464,7315,10779,287,https://txschools.net/district/rise-academy-152802
284,1162,0,161922,Robinson ISD,McLennan,A,3468,11047,14515,2401,https://txschools.net/district/robinson-isd-161922
285,1162,0,113905,Latexo ISD,Houston,C,3484,11815,15299,551,https://txschools.net/district/latexo-isd-113905
286,1162,0,057802,Pegasus School of Liberal Arts and Sciences,Dallas,D,3497,10964,14461,277,https://txschools.net/district/pegasus-school-of-liberal-arts-and-sciences-057802
287,1162,1,152903,Slaton ISD,Lubbock,C,3518,18811,22329,1308,https://txschools.net/district/slaton-isd-152903
287,1162,1,037909,Wells ISD,Cherokee,B,3518,13073,16591,235,https://txschools.net/district/wells-isd-037909
289,1162,0,049902,Muenster ISD,Cooke,B,3534,14472,18006,551,https://txschools.net/district/muenster-isd-049902
290,1162,0,101845,Yes Prep Public Schools Inc,Harris,B,3540,11099,14639,20806,https://txschools.net/district/yes-prep-public-schools-inc-101845
291,1162,0,220907,Keller ISD,Tarrant,B,3542,11211,14753,30440,https://txschools.net/district/keller-isd-220907
292,1162,0,070903,Ennis ISD,Ellis,C,3543,11296,14839,6621,https://txschools.net/district/ennis-isd-070903
293,1162,0,107905,Eustace ISD,Henderson,B,3550,11225,14775,1685,https://txschools.net/district/eustace-isd-107905
294,1162,0,108905,Hidalgo ISD,Hidalgo,B,3556,14094,17650,2788,https://txschools.net/district/hidalgo-isd-108905
295,1162,0,227804,NYOS Charter School,Travis,B,3562,8805,12367,1808,https://txschools.net/district/nyos-charter-school-227804
296,1162,0,235902,Victoria ISD,Victoria,C,3578,10244,13822,12534,https://txschools.net/district/victoria-isd-235902
297,1162,0,026903,Snook ISD,Burleson,B,3581,13367,16948,585,https://txschools.net/district/snook-isd-026903
298,1162,0,113906,Kennard ISD,Houston,C,3588,12437,16025,254,https://txschools.net/district/kennard-isd-113906
299,1162,0,175911,Rice ISD,Navarro,B,3589,15688,19277,1094,https://txschools.net/district/rice-isd-175911
300,1162,0,057845,UME Preparatory Academy,Dallas,B,3591,7754,11345,1766,https://txschools.net/district/ume-preparatory-academy-057845
301,1162,0,250902,Hawkins ISD,Wood,C,3597,14110,17707,776,https://txschools.net/district/hawkins-isd-250902
302,1162,1,101858,Harmony Public Schools - Houston North,Harris,B,3621,9724,13345,8807,https://txschools.net/district/harmony-public-schools-houston-north-101858
302,1162,1,161903,Midway ISD,McLennan,A,3621,10262,13883,8704,https://txschools.net/district/midway-isd-161903
304,1162,0,158902,Tidehaven ISD,Matagorda,A,3625,13991,17616,1038,https://txschools.net/district/tidehaven-isd-158902
305,1162,0,178905,Driscoll ISD,Nueces,B,3628,13686,17314,1030,https://txschools.net/district/driscoll-isd-178905
306,1162,0,133903,Kerrville ISD,Kerr,B,3630,9716,13346,4402,https://txschools.net/district/kerrville-isd-133903
307,1162,0,214901,Rio Grande City Grulla ISD,Starr,B,3642,13554,17196,9157,https://txschools.net/district/rio-grande-city-grulla-isd-214901
308,1162,0,121905,Kirbyville CISD,Jasper,C,3645,10115,13760,1443,https://txschools.net/district/kirbyville-cisd-121905
309,1162,0,227825,Austin Achieve Public Schools,Travis,C,3646,12478,16124,2852,https://txschools.net/district/austin-achieve-public-schools-227825
310,1162,0,243903,Iowa Park CISD,Wichita,B,3649,10954,14603,1974,https://txschools.net/district/iowa-park-cisd-243903
311,1162,0,071803,Triumph Public High Schools-West Texas,El Paso,B,3657,10626,14283,348,https://txschools.net/district/triumph-public-high-schools-west-texas-071803
312,1162,0,129910,Scurry-Rosser ISD,Kaufman,B,3663,14573,18236,1052,https://txschools.net/district/scurry-rosser-isd-129910
313,1162,0,176903,Deweyville ISD,Newton,C,3664,13892,17556,574,https://txschools.net/district/deweyville-isd-176903
314,1162,0,057828,Winfree Academy Charter Schools,Dallas,B,3667,7965,11632,1051,https://txschools.net/district/winfree-academy-charter-schools-057828
315,1162,0,226903,San Angelo ISD,Tom Green,C,3669,9598,13267,12500,https://txschools.net/district/san-angelo-isd-226903
316,1162,0,204904,Shepherd ISD,San Jacinto,C,3674,10912,14586,1967,https://txschools.net/district/shepherd-isd-204904
317,1162,0,227817,Cedars International Academy,Travis,B,3683,10623,14306,543,https://txschools.net/district/cedars-international-academy-227817
318,1162,0,240801,Triumph Public High Schools Central Texas,Webb,B,3684,12974,16658,362,https://txschools.net/district/triumph-public-high-schools-central-texas-240801
319,1162,0,146907,Tarkington ISD,Liberty,C,3686,10124,13810,1864,https://txschools.net/district/tarkington-isd-146907
320,1162,0,075901,Flatonia ISD,Fayette,A,3743,12677,16420,675,https://txschools.net/district/flatonia-isd-075901
321,1162,0,108907,Mercedes ISD,Hidalgo,C,3751,13040,16791,3940,https://txschools.net/district/mercedes-isd-108907
322,1162,0,227820,KIPP Texas Public Schools,Travis,B,3758,10983,14741,31596,https://txschools.net/district/kipp-texas-public-schools-227820
323,1162,0,072801,Premier High Schools,Erath,B,3766,7558,11324,8825,https://txschools.net/district/premier-high-schools-072801
324,1162,0,137903,Riviera ISD,Kleberg,B,3772,14235,18007,406,https://txschools.net/district/riviera-isd-137903
325,1162,0,152901,Lubbock ISD,Lubbock,B,3784,11154,14938,23029,https://txschools.net/district/lubbock-isd-152901
326,1162,0,014905,Holland ISD,Bell,A,3792,15594,19386,669,https://txschools.net/district/holland-isd-014905
327,1162,0,057829,A' Academy,Dallas,C,3793,10720,14513,1703,https://txschools.net/district/a-academy-057829
328,1162,0,101915,Klein ISD,Harris,B,3804,12935,16739,51154,https://txschools.net/district/klein-isd-101915
329,1162,0,059901,Hereford ISD,Deaf Smith,C,3808,10290,14098,3836,https://txschools.net/district/hereford-isd-059901
330,1162,0,057834,Evolution Academy Charter School,Dallas,A,3831,7594,11425,639,https://txschools.net/district/evolution-academy-charter-school-057834
331,1162,0,003903,Lufkin ISD,Angelina,C,3839,10430,14269,6678,https://txschools.net/district/lufkin-isd-003903
332,1162,0,225907,Harts Bluff ISD,Titus,C,3843,9405,13248,873,https://txschools.net/district/harts-bluff-isd-225907
333,1162,0,043905,Frisco ISD,Collin,A,3848,11596,15444,62627,https://txschools.net/district/frisco-isd-043905
334,1162,0,057803,Uplift Education,Dallas,B,3849,10216,14065,23539,https://txschools.net/district/uplift-education-057803
335,1162,0,201904,Leveretts Chapel ISD,Rusk,C,3851,12481,16332,233,https://txschools.net/district/leveretts-chapel-isd-201904
336,1162,0,101837,Calvin Nelms Charter Schools,Harris,A,3853,7984,11837,414,https://txschools.net/district/calvin-nelms-charter-schools-101837
337,1162,0,174801,Stephen F Austin State University Charter School,Nacogdoches,A,3868,7997,11865,254,https://txschools.net/district/stephen-f-austin-state-university-charter-school-174801
338,1162,0,081905,Wortham ISD,Freestone,C,3869,9528,13397,501,https://txschools.net/district/wortham-isd-081905
339,1162,1,108808,Vanguard Academy,Hidalgo,A,3870,9651,13521,6739,https://txschools.net/district/vanguard-academy-108808
339,1162,1,040902,Whiteface CISD,Cochran,B,3870,20182,24052,294,https://txschools.net/district/whiteface-cisd-040902
341,1162,0,123908,Port Neches-Groves ISD,Jefferson,B,3887,11467,15354,5289,https://txschools.net/district/port-neches-groves-isd-123908
342,1162,0,184902,Springtown ISD,Parker,C,3894,10442,14336,4227,https://txschools.net/district/springtown-isd-184902
343,1162,0,220802,Arlington Classics Academy,Tarrant,B,3900,8012,11912,1552,https://txschools.net/district/arlington-classics-academy-220802
344,1162,0,188901,Amarillo ISD,Potter,B,3906,10152,14058,28172,https://txschools.net/district/amarillo-isd-188901
345,1162,0,236902,Huntsville ISD,Walker,C,3907,8799,12706,11504,https://txschools.net/district/huntsville-isd-236902
346,1162,0,085902,Post ISD,Garza,D,3910,17646,21556,648,https://txschools.net/district/post-isd-085902
347,1162,0,152803,Triumph Public High Schools-Lubbock,Lubbock,C,3915,10199,14114,118,https://txschools.net/district/triumph-public-high-schools-lubbock-152803
348,1162,0,115901,Ft Hancock ISD,Hudspeth,C,3926,15292,19218,390,https://txschools.net/district/ft-hancock-isd-115901
349,1162,0,057819,Jean Massieu Academy,Dallas,D,3936,10981,14917,172,https://txschools.net/district/jean-massieu-academy-057819
350,1162,1,103902,Hartley ISD,Hartley,A,3945,14140,18085,242,https://txschools.net/district/hartley-isd-103902
350,1162,1,108913,Weslaco ISD,Hidalgo,B,3945,12128,16073,16012,https://txschools.net/district/weslaco-isd-108913
352,1162,0,183901,Beckville ISD,Panola,B,3948,12989,16937,652,https://txschools.net/district/beckville-isd-183901
353,1162,0,125903,Orange Grove ISD,Jim Wells,B,3951,10634,14585,1585,https://txschools.net/district/orange-grove-isd-125903
354,1162,0,125906,La Gloria ISD,Jim Wells,D,3968,9805,13773,126,https://txschools.net/district/la-gloria-isd-125906
355,1162,0,021803,Brazos School for Inquiry & Creativity,Brazos,C,3980,9540,13520,310,https://txschools.net/district/brazos-school-for-inquiry-creativity-021803
356,1162,0,015914,Ft Sam Houston ISD,Bexar,A,3998,17657,21655,1543,https://txschools.net/district/ft-sam-houston-isd-015914
357,1162,0,050910,Copperas Cove ISD,Coryell,B,3999,10585,14584,7619,https://txschools.net/district/copperas-cove-isd-050910
358,1162,0,198906,Mumford ISD,Robertson,A,4001,8222,12223,600,https://txschools.net/district/mumford-isd-198906
359,1162,0,227824,Valere Public Schools,Travis,C,4011,11965,15976,812,https://txschools.net/district/valere-public-schools-227824
360,1162,0,184801,Crosstimbers Academy,Parker,A,4013,8519,12532,114,https://txschools.net/district/crosstimbers-academy-184801
361,1162,0,221901,Abilene ISD,Taylor,C,4018,10118,14136,14260,https://txschools.net/district/abilene-isd-221901
362,1162,0,092906,Sabine ISD,Gregg,B,4027,10303,14330,1567,https://txschools.net/district/sabine-isd-092906
363,1162,0,086902,Harper ISD,Gillespie,B,4038,11408,15446,566,https://txschools.net/district/harper-isd-086902
364,1162,1,008903,Brazos ISD,Austin,B,4041,12386,16427,824,https://txschools.net/district/brazos-isd-008903
364,1162,1,083903,Seminole ISD,Gaines,C,4041,18918,22959,3083,https://txschools.net/district/seminole-isd-083903
366,1162,0,170906,Magnolia ISD,Montgomery,B,4045,12429,16474,15329,https://txschools.net/district/magnolia-isd-170906
367,1162,0,057807,Life School,Dallas,B,4051,10010,14061,5560,https://txschools.net/district/life-school-057807
368,1162,0,049906,Era ISD,Cooke,A,4062,11303,15365,517,https://txschools.net/district/era-isd-049906
369,1162,3,101815,Alief Montessori Community School,Harris,B,4080,6798,10878,416,https://txschools.net/district/alief-montessori-community-school-101815
369,1162,3,123910,Beaumont ISD,Jefferson,D,4080,11412,15492,15838,https://txschools.net/district/beaumont-isd-123910
369,1162,3,188902,River Road ISD,Potter,B,4080,11921,16001,1183,https://txschools.net/district/river-road-isd-188902
369,1162,3,221905,Trent ISD,Taylor,B,4080,20191,24271,118,https://txschools.net/district/trent-isd-221905
373,1162,0,101913,Humble ISD,Harris,B,4096,13591,17687,47734,https://txschools.net/district/humble-isd-101913
374,1162,0,161907,Lorena ISD,McLennan,A,4106,10850,14956,1740,https://txschools.net/district/lorena-isd-161907
375,1162,0,212903,Lindale ISD,Smith,A,4108,10078,14186,4613,https://txschools.net/district/lindale-isd-212903
376,1162,0,057813,Trinity Basin Preparatory,Dallas,C,4109,8449,12558,6741,https://txschools.net/district/trinity-basin-preparatory-057813
377,1162,0,079907,Fort Bend ISD,Fort Bend,B,4126,14055,18181,77929,https://txschools.net/district/fort-bend-isd-079907
378,1162,1,126902,Burleson ISD,Johnson,B,4132,11777,15909,12560,https://txschools.net/district/burleson-isd-126902
378,1162,1,043907,McKinney ISD,Collin,B,4132,15035,19167,23667,https://txschools.net/district/mckinney-isd-043907
380,1162,0,116909,Wolfe City ISD,Hunt,B,4144,12572,16716,694,https://txschools.net/district/wolfe-city-isd-116909
381,1162,0,246909,Round Rock ISD,Williamson,B,4159,12357,16516,45865,https://txschools.net/district/round-rock-isd-246909
382,1162,0,114901,Big Spring ISD,Howard,B,4163,10558,14721,3107,https://txschools.net/district/big-spring-isd-114901
383,1162,0,084911,Friendswood ISD,Galveston,A,4169,10446,14615,6116,https://txschools.net/district/friendswood-isd-084911
384,1162,0,152910,Idalou ISD,Lubbock,A,4174,10658,14832,1036,https://txschools.net/district/idalou-isd-152910
385,1162,0,001903,Elkhart ISD,Anderson,B,4179,10232,14411,1175,https://txschools.net/district/elkhart-isd-001903
386,1162,0,117903,Sanford-Fritch ISD,Hutchinson,C,4187,11109,15296,714,https://txschools.net/district/sanford-fritch-isd-117903
387,1162,0,174902,Cushing ISD,Nacogdoches,B,4206,12451,16657,561,https://txschools.net/district/cushing-isd-174902
388,1162,0,101819,Amigos Por Vida-Friends for Life Pub Chtr Sch,Harris,A,4208,10287,14495,802,https://txschools.net/district/amigos-por-vida-friends-for-life-pub-chtr-sch-101819
389,1162,0,129904,Kemp ISD,Kaufman,D,4213,12209,16422,2017,https://txschools.net/district/kemp-isd-129904
390,1162,0,028903,Luling ISD,Caldwell,C,4215,9426,13641,1431,https://txschools.net/district/luling-isd-028903
391,1162,0,071902,El Paso ISD,El Paso,B,4220,11694,15914,46113,https://txschools.net/district/el-paso-isd-071902
392,1162,0,101903,Alief ISD,Harris,C,4227,12701,16928,36376,https://txschools.net/district/alief-isd-101903
393,1162,0,101870,Beta Academy,Harris,B,4235,9101,13336,1674,https://txschools.net/district/beta-academy-101870
394,1162,0,110906,Smyer ISD,Hockley,A,4237,11345,15582,433,https://txschools.net/district/smyer-isd-110906
395,1162,0,123805,Ehrhart School,Jefferson,A,4239,8909,13148,593,https://txschools.net/district/ehrhart-school-123805
396,1162,0,178915,West Oso ISD,Nueces,D,4243,12555,16798,1777,https://txschools.net/district/west-oso-isd-178915
