# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-07-districts/overall-score-gains
# rows: 100 (excluding this header and the column row)
# ranking: Region 07: Kilgore school districts with the largest overall score gains since 2021-22
# population: 100 districts of 101 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
45,100,7,001909,Slocum ISD,Anderson,B,1,84,85,330,https://txschools.net/district/slocum-isd-001909
45,100,7,230908,Union Grove ISD,Upshur,B,1,85,86,710,https://txschools.net/district/union-grove-isd-230908
45,100,7,230904,Union Hill ISD,Upshur,C,1,74,75,254,https://txschools.net/district/union-hill-isd-230904
45,100,7,037909,Wells ISD,Cherokee,B,1,83,84,235,https://txschools.net/district/wells-isd-037909
53,100,5,212902,Bullard ISD,Smith,B,0,89,89,2853,https://txschools.net/district/bullard-isd-212902
53,100,5,003905,Diboll ISD,Angelina,B,0,82,82,1513,https://txschools.net/district/diboll-isd-003905
53,100,5,234909,Fruitvale ISD,Van Zandt,B,0,82,82,390,https://txschools.net/district/fruitvale-isd-234909
53,100,5,092903,Longview ISD,Gregg,B,0,88,88,7906,https://txschools.net/district/longview-isd-092903
53,100,5,174801,Stephen F Austin State University Charter School,Nacogdoches,A,0,95,95,254,https://txschools.net/district/stephen-f-austin-state-university-charter-school-174801
53,100,5,201914,West Rusk County Consolidated ISD,Rusk,C,0,78,78,1006,https://txschools.net/district/west-rusk-county-consolidated-isd-201914
59,100,4,183901,Beckville ISD,Panola,B,-1,89,88,652,https://txschools.net/district/beckville-isd-183901
59,100,4,107904,Cross Roads ISD,Henderson,B,-1,86,85,541,https://txschools.net/district/cross-roads-isd-107904
59,100,4,102904,Hallsville ISD,Harrison,C,-1,79,78,26808,https://txschools.net/district/hallsville-isd-102904
59,100,4,107910,Lapoynor ISD,Henderson,C,-1,77,76,465,https://txschools.net/district/lapoynor-isd-107910
59,100,4,212804,UT Tyler University Academy,Smith,A,-1,96,95,1224,https://txschools.net/district/ut-tyler-university-academy-212804
64,100,9,183902,Carthage ISD,Panola,B,-2,82,80,2602,https://txschools.net/district/carthage-isd-183902
64,100,9,102906,Elysian Fields ISD,Harrison,B,-2,82,80,753,https://txschools.net/district/elysian-fields-isd-102906
64,100,9,210906,Excelsior ISD,Shelby,C,-2,77,75,112,https://txschools.net/district/excelsior-isd-210906
64,100,9,003902,Hudson ISD,Angelina,B,-2,87,85,2755,https://txschools.net/district/hudson-isd-003902
64,100,9,092902,Kilgore ISD,Gregg,C,-2,77,75,3576,https://txschools.net/district/kilgore-isd-092902
64,100,9,003903,Lufkin ISD,Angelina,C,-2,81,79,6678,https://txschools.net/district/lufkin-isd-003903
64,100,9,250903,Mineola ISD,Wood,B,-2,86,84,1790,https://txschools.net/district/mineola-isd-250903
64,100,9,190903,Rains ISD,Rains,C,-2,74,72,1664,https://txschools.net/district/rains-isd-190903
64,100,9,210904,Tenaha ISD,Shelby,C,-2,79,77,402,https://txschools.net/district/tenaha-isd-210904
64,100,9,174906,Woden ISD,Nacogdoches,B,-2,86,84,824,https://txschools.net/district/woden-isd-174906
74,100,5,212901,Arp ISD,Smith,C,-3,79,76,918,https://txschools.net/district/arp-isd-212901
74,100,5,102905,Harleton ISD,Harrison,B,-3,87,84,702,https://txschools.net/district/harleton-isd-102905
74,100,5,250902,Hawkins ISD,Wood,C,-3,81,78,776,https://txschools.net/district/hawkins-isd-250902
74,100,5,107906,Malakoff ISD,Henderson,B,-3,90,87,1522,https://txschools.net/district/malakoff-isd-107906
74,100,5,102902,Marshall ISD,Harrison,D,-3,72,69,4726,https://txschools.net/district/marshall-isd-102902
74,100,5,003801,Pineywoods Community Academy,Angelina,B,-3,87,84,1060,https://txschools.net/district/pineywoods-community-academy-003801
80,100,4,230901,Big Sandy ISD,Upshur,C,-4,78,74,643,https://txschools.net/district/big-sandy-isd-230901
80,100,4,001903,Elkhart ISD,Anderson,B,-4,86,82,1175,https://txschools.net/district/elkhart-isd-001903
80,100,4,001906,Neches ISD,Anderson,B,-4,91,87,338,https://txschools.net/district/neches-isd-001906
80,100,4,201908,Overton ISD,Rusk,C,-4,79,75,534,https://txschools.net/district/overton-isd-201908
80,100,4,234906,Van ISD,Van Zandt,B,-4,84,80,2265,https://txschools.net/district/van-isd-234906
85,100,1,003907,Central ISD,Angelina,C,-5,81,76,1491,https://txschools.net/district/central-isd-003907
85,100,1,250904,Quitman ISD,Wood,B,-5,86,81,1216,https://txschools.net/district/quitman-isd-250904
87,100,1,107908,Murchison ISD,Henderson,D,-6,71,65,187,https://txschools.net/district/murchison-isd-107908
87,100,1,001907,Palestine ISD,Anderson,C,-6,83,77,3144,https://txschools.net/district/palestine-isd-001907
89,100,1,037901,Alto ISD,Cherokee,C,-7,84,77,524,https://txschools.net/district/alto-isd-037901
89,100,1,092906,Sabine ISD,Gregg,B,-7,87,80,1567,https://txschools.net/district/sabine-isd-092906
91,100,0,037904,Jacksonville ISD,Cherokee,D,-8,77,69,4572,https://txschools.net/district/jacksonville-isd-037904
92,100,0,102903,Waskom ISD,Harrison,C,-9,82,73,764,https://txschools.net/district/waskom-isd-102903
93,100,2,210901,Center ISD,Shelby,C,-10,83,73,2258,https://txschools.net/district/center-isd-210901
93,100,2,183904,Gary ISD,Panola,D,-10,78,68,478,https://txschools.net/district/gary-isd-183904
93,100,2,212910,Winona ISD,Smith,C,-10,83,73,1122,https://txschools.net/district/winona-isd-212910
96,100,0,212904,Troup ISD,Smith,C,-11,89,78,1067,https://txschools.net/district/troup-isd-212904
97,100,0,102901,Karnack ISD,Harrison,D,-12,78,66,121,https://txschools.net/district/karnack-isd-102901
98,100,0,001908,Westwood ISD,Anderson,D,-14,81,67,1300,https://txschools.net/district/westwood-isd-001908
99,100,0,201904,Leveretts Chapel ISD,Rusk,C,-16,87,71,233,https://txschools.net/district/leveretts-chapel-isd-201904
100,100,0,201903,Laneville ISD,Rusk,D,-26,95,69,104,https://txschools.net/district/laneville-isd-201903
